,athlete_id,name,born_date,died_date,born_city,born_country,born_region,height_cm,weight_kg,NOC
0,1,"François Joseph Marie Antoine ""Jean-François"" Blanchy",1886-12-12,1960-10-02,Bordeaux,(FRA),Gironde,,,(FRA)
1,2,Arnaud Benjamin Boetsch,1969-04-01,,Meulan,(FRA),Yvelines,183.0,76.0,(FRA)
2,3,Jean Laurent Robert Borotra,1898-08-13,1994-07-17,Biarritz,(FRA),Pyrénées-Atlantiques,183.0,76.0,(FRA)
3,4,Jacques Marie Stanislas Jean Brugnon,1895-05-11,1978-03-20,Paris VIIIe,(FRA),Paris,168.0,64.0,(FRA)
4,5,Henry Albert Canet,1878-04-17,1930-07-25,Wandsworth,(GBR),England,,,(GBR)
5,6,Nicolas Chatelain,1970-01-13,,Amiens,(FRA),Somme,181.0,70.0,(FRA)
6,7,Patrick Chila,1969-11-27,,Ris-Orangis,(FRA),Essonne,180.0,73.0,(FRA)
7,8,Henri Jean Cochet,1901-12-14,1987-04-02,Villeurbanne,(FRA),Rhône,,,(FRA)
8,9,Marcel Cousin,1896-08-04,1986-08-01,Nîmes,(FRA),Gard,,,(FRA)
9,10,Luc Henri Hervé Guy Gardye de la Chapelle,1868-07-16,1923-08-27,Farges-Allichamps,(FRA),Cher,,,(FRA)
10,11,Élie Marie Gabriel Dor de Lastours,1874-08-12,1932-11-18,Orgeval,(FRA),Yvelines,,,(FRA)
11,12,"Maxime Omer Mathieu ""Max"" Omer-Decugis",1882-09-24,1978-09-06,Paris XVIe,(FRA),Paris,,,(FRA)
12,13,J. Defert,,,,,,,,
13,14,Étienne Durand,,,,,,,,
14,15,Damien Éloi,1969-07-04,,Vire,(FRA),Calvados,165.0,58.0,(FRA)
15,16,Marie Joseph Adrien Fauchier-Magnan,1873-11-19,1965-08-06,Paris VIIIe,(FRA),Paris,,,(FRA)
16,17,Guy Forget,1965-01-04,,Casablanca,(MAR),Casablanca-Settat,189.0,79.0,(MAR)
17,18,Jean-Philippe Gatien,1968-10-16,,Alès,(FRA),Gard,178.0,73.0,(FRA)
18,19,Marie Claude Maurice Germot,1882-11-15,1958-08-06,Vichy,(FRA),Allier,,,(FRA)
19,20,Henry Maurice André Gobert,1890-09-30,1951-12-06,Paris XVIIe,(FRA),Paris,,,(FRA)
20,21,Pierre Michel Hirsch,1900-11-08,1942-04-19,Paris Ie,(FRA),Paris,,,(FRA)
21,22,Jean René Lacoste,1904-07-02,1996-10-12,Paris Xe,(FRA),Paris,,,(FRA)
22,23,Daniel Édouard Lawton,1881-11-27,1979-03-27,Cantenac,(FRA),Gironde,,,(FRA)
23,24,Louis Paul Lebreton,1875-10-19,1960-03-31,Paris IIe,(FRA),Paris,,,(FRA)
24,25,Paul Émile Lecaron,1863-07-29,1940-09-17,Neuilly-sur-Seine,(FRA),Hauts-de-Seine,,,(FRA)
25,26,Henri Leconte,1963-07-04,,Lillers,(FRA),Pas-de-Calais,184.0,78.0,(FRA)
26,27,Christophe Legoût,1973-08-06,,Montbéliard,(FRA),Doubs,177.0,75.0,(FRA)
27,28,Guy Lejeune,,,,,,,,
28,29,Albert Lippmann,,,,,,,,
29,30,Édouard Marie Marc Mény de Marangue,1882-11-30,1960-01-23,Paris VIe,(FRA),Paris,,,(FRA)
30,31,André Adrien Hippolyte Prévost,1875-02-28,1951-11-22,Paris VIIIe,(FRA),Paris,,,(FRA)
31,32,Guillaume Raoux,1970-02-14,,Bagnols-sur-Cèze,(FRA),Gard,180.0,77.0,(FRA)
32,33,Stéphane Renault,1968-03-01,,Barfleur,(FRA),Manche,180.0,72.0,(FRA)
33,34,Jean-Pierre Samazeuilh,1891-01-17,1965-04-13,Bordeaux,(FRA),Gironde,,,(FRA)
34,35,Fabrice Vetea Santoro,1972-12-09,,Tahiti,(FPN),Îles du Vent,177.0,68.0,(FPN)
35,36,Étienne Thobois,1967-09-20,,Amiens,(FRA),Somme,186.0,78.0,(FRA)
36,37,Philippe-Edmond Pierre Verdé-Delisle,1877-05-16,1960-07-18,Trie-la-Ville,(FRA),Oise,,,(FRA)
37,38,Frances Helen Aitchison (-Leisk),1881-12-06,1947-05-26,Sunderland,(GBR),England,,,(GBR)
38,39,Winifred Geraldine Beamish (Ramsey-),1883-06-23,1972-05-10,Forest Gate,(GBR),England,,,(GBR)
39,40,Penelope Dora Harvey Boothby (-Geen),1881-08-02,1970-02-22,Finchley,(GBR),England,,,(GBR)
40,41,Julie Jane Bradbury,1967-02-12,,Oxford,(GBR),England,175.0,64.0,(GBR)
41,42,Gillian Margaret Clark,1961-09-02,,Baghdad,(IRQ),Baghdad,176.0,68.0,(IRQ)
42,43,Mildred Coles (-Davis),1876-04-09,1937-02-24,Cranbrook,(GBR),England,,,(GBR)
43,44,Evelyn Lucy Colyer (-Munro),1902-08-16,1930-11-04,Wandsworth,(GBR),England,,,(GBR)
44,45,Charlotte Reinagle Cooper (-Sterry),1870-09-22,1966-10-10,Ealing,(GBR),England,,,(GBR)
45,46,Phyllis Lindrea Covell (Howkins-),1895-05-22,1982-10-28,Paddington,(GBR),England,,,(GBR)
46,47,Gladys Shirley Eastlake-Smith (-Lamplough),1883-08-14,1941-09-18,Lewisham,(GBR),England,,,(GBR)
47,48,Sara Louise Gomer (-Palombo),1964-05-13,,Torquay,(GBR),England,190.0,85.0,(GBR)
48,49,Alison Helen Gordon (-Broe),1962-12-31,,Reading,(GBR),England,175.0,68.0,(GBR)
49,50,Gillian Carol Gowers,1964-04-09,,,,,157.0,55.0,(GBR)
50,51,Alice Norah Gertrude Greene,1879-10-15,1956-10-26,Upton,(GBR),England,,,(GBR)
51,52,Edith Margaret Hannam (Boucher-),1878-11-28,1951-01-16,Bristol,(GBR),England,,,(GBR)
52,53,Edith Dorothy Holman,1883-07-18,1968-06-15,Kilburn,(GBR),England,,,(GBR)
53,54,Andrea Mary Holt,1970-11-11,,Radcliffe,(GBR),England,168.0,64.0,(GBR)
54,55,Monique Alicia Javer (-Dias),1967-07-22,,Burlingame,(USA),California,177.0,64.0,(USA)
55,56,Valda Lake,1968-10-11,,Torquay,(GBR),England,173.0,61.0,(GBR)
56,57,"Dorothea Katherine ""Dorothy"" Lambert Chambers (Douglass-)",1878-09-03,1960-01-07,Ealing,(GBR),England,,,(GBR)
57,58,Lisa Jane Lomas (Bellinger-),1967-03-09,,Dunstable,(GBR),England,168.0,63.0,(GBR)
58,59,"Kathleen ""Kitty"" McKane (-Godfree)",1896-05-07,1992-06-19,Bayswater,(GBR),England,,,(GBR)
59,60,Winifred Margaret McNair (Slocock-),1877-08-09,1954-03-28,Donnington,(GBR),England,,,(GBR)
60,61,Kelly Ann Morgan (-Aston),1975-05-22,,Pontypridd,(GBR),Wales,178.0,65.0,(GBR)
61,62,"Agnes Mary ""Agatha"" Morton (-Stewart)",1872-03-06,1952-04-05,Halstead,(GBR),England,,,(GBR)
62,63,"Joanne ""Jo"" Muggeridge",1969-04-03,,London,(GBR),England,157.0,59.0,(GBR)
63,64,"Mabel Bramwell Parton (Squire-, -Mavrogordato)",1881-07-22,1962-08-12,London,(GBR),England,,,(GBR)
64,65,Violet Millicent Pinckney,1871-03-11,1955-03-13,Alderbury,(GBR),England,,,(GBR)
65,66,Sara Louise Sankey (Halsall-),1967-09-29,,Southport,(GBR),England,170.0,68.0,(GBR)
66,67,Phyllis Helen Satterthwaite (Carr-),1886-01-26,1962-01-20,Kensington,(GBR),England,,,(GBR)
67,68,Dorothy Cunliffe Shepherd-Barron,1897-11-24,1953-02-20,Beighton,(GBR),England,,,(GBR)
68,69,"Samantha ""Sam"" Smith",1971-11-27,,Epping,(GBR),England,175.0,62.0,(GBR)
69,70,Helen Suzanne Troke (-Alcock),1964-11-07,,Southampton,(GBR),England,172.0,63.0,(GBR)
70,71,Ruth Isabel Winch (Legh-),1870-08-25,1952-01-09,Ryde,(GBR),England,,,(GBR)
71,72,Clare Jacqueline Wood,1968-03-08,,Zululand,(RSA),KwaZulu-Natal,175.0,65.0,(RSA)
72,73,Joanne Gwendoline Wright-Goode,1972-11-17,,Harlow,(GBR),England,171.0,68.0,(GBR)
73,74,"Skylet ""Sky"" Andrew",1962-03-31,,Newham,(GBR),England,185.0,78.0,(GBR)
74,75,Simon David Archer,1973-06-27,,Leamington Spa,(GBR),England,189.0,86.0,(GBR)
75,76,Herbert Roper Barrett,1873-11-24,1943-07-27,Upton,(GBR),England,,,(GBR)
76,77,Michael Jeremy Bates,1962-06-19,,Solihull,(GBR),England,180.0,72.0,(GBR)
77,78,Alfred Ernest Beamish,1879-08-06,1944-02-28,Richmond,(GBR),England,,,(GBR)
78,79,John Mary Pius Boland,1870-09-16,1958-03-17,Dublin,(IRL),Dublin,,,(IRL)
79,80,Neil Broad,1966-11-20,,Cape Town,(RSA),Western Cape,191.0,87.0,(RSA)
80,81,George Aristides Caridia (Karidias-),1869-02-20,1937-04-21,,,,,,(IND)
81,82,Andrew Nicholas Castle,1963-11-15,,Epsom,(GBR),England,190.0,74.0,(GBR)
82,83,Clement Haughton Langston Cazalet,1869-07-16,1950-03-23,,,,,,(GBR)
83,84,Xinhua Chen,1960-01-30,,Fuan,(CHN),Fujian,175.0,71.0,(CHN)
84,85,Alan Cooke,1966-03-23,,Clay Cross,(GBR),England,170.0,64.0,(GBR)
85,86,Walter Cecil Crawley,1880-03-29,1940-10-11,Masham,(GBR),England,,,(GBR)
86,87,Charles Percy Dixon,1873-02-07,1939-04-29,Grantham,(GBR),England,,,(GBR)
87,88,"Hugh Lawrence ""Laurie"" Doherty",1875-10-08,1919-08-21,Wimbledon,(GBR),England,178.0,,(GBR)
88,89,"Reginald Frank ""Reggie"" Doherty",1872-10-14,1910-12-29,Wimbledon,(GBR),England,,,(GBR)
89,90,Desmond Douglas,1955-07-20,,Kingston,(JAM),Kingston,175.0,66.0,(JAM)
90,91,Wilberforce Vaughan Eaves,1867-12-10,1920-02-10,Melbourne,(AUS),Victoria,,,(AUS)
91,92,Lionel Hunter Escombe,1876-01-01,1914-10-15,Natal,(RSA),KwaZulu-Natal,,,(RSA)
92,93,Anne Gibson (Robertson-),1968-10-26,,Dumfries,(GBR),Scotland,173.0,70.0,(GBR)
93,94,John Brian Gilbert,1887-07-17,1974-07-28,Barnes,(GBR),England,,,(GBR)
94,95,Leslie Allison Godfree,1885-04-27,1971-11-17,Brighton,(GBR),England,,,(GBR)
95,96,"Andrew Brian ""Andy"" Goode",1960-01-30,,Welwyn Garden City,(GBR),England,183.0,83.0,(GBR)
96,97,"Arthur William Charles ""Arthur Wentworth"" Gore",1868-01-02,1928-12-01,Lyndhurst,(GBR),England,,,(GBR)
97,98,Darren James Hall,1965-10-25,,Walthamstow,(GBR),England,183.0,73.0,(GBR)
98,99,"Timothy Henry ""Tim"" Henman",1974-09-06,,Oxford,(GBR),England,185.0,77.0,(GBR)
99,100,George Whiteside Hillyard,1864-02-06,1943-03-24,Hanwell,(GBR),England,,,(GBR)
100,101,"Christopher John ""Chris"" Hunt",1968-12-01,,Bolton,(GBR),England,182.0,88.0,(GBR)
101,102,Algernon Robert Fitzhardinge Kingscote,1888-02-03,1964-12-21,,,,,,(IND)
102,103,Peter Knowles,1969-12-28,,Stockport,(GBR),England,177.0,77.0,(GBR)
103,104,Arthur Holden Lowe,1886-01-29,1958-10-22,,,,,,(GBR)
104,105,Francis Gordon Lowe,1884-06-21,1972-05-17,,,,,,(GBR)
105,106,Harold Segerson Mahony,1867-02-13,1905-06-27,Edinburgh,(GBR),Scotland,191.0,,(GBR)
106,107,Theodore Michel Mavrogordato,1883-07-31,1941-08-24,City of London,(GBR),England,,,(GBR)
107,108,Anders Ward Nielsen,1967-02-24,2010-07-29,Cape Town,(RSA),Western Cape,173.0,70.0,(RSA)
108,109,Arthur B. J. Norris,,,,,,,,
109,110,James Cecil Parke,1881-07-26,1946-02-27,Clones,(IRL),Monaghan,,,(IRL)
110,111,"Nicholas James ""Nick"" Ponting",1966-09-13,,London,(GBR),England,173.0,76.0,(GBR)
111,112,Carl Lustig Prean,1967-08-20,,Newport,(GBR),England,185.0,79.0,(GBR)
112,113,Major Josiah George Ritchie,1870-10-18,1955-02-28,Westminster,(GBR),England,,,(GBR)
113,114,Julian Anthony Robertson,1969-10-09,,Peterborough,(GBR),England,182.0,73.0,(GBR)
114,115,"Gregory ""Greg"" Rusedski",1973-09-06,,Montréal,(CAN),Québec,190.0,88.0,(CAN)
115,116,George Mieville Simond,1867-01-23,1941-04-08,Marylebone,(GBR),England,,,(GBR)
116,117,Matthew Philip Syed,1970-11-02,,Bromley,(GBR),England,175.0,70.0,(GBR)
117,118,Oswald Graham Noel Turnbull,1890-12-20,1970-12-17,Highgate,(GBR),England,,,(GBR)
118,119,Archibald Adam Warden,1869-05-11,1943-10-07,Edinburgh,(GBR),Scotland,,,(GBR)
119,120,John David Patrick Wheatley,1899-01-20,1967-11-05,Vryheid,(RSA),KwaZulu-Natal,,,(RSA)
120,121,"Christopher ""Chris"" Wilkinson",1970-01-05,,Southampton,(GBR),England,180.0,72.0,(GBR)
121,122,"Maxwell ""Max"" Woosnam",1892-09-06,1965-07-14,Liverpool,(GBR),England,,,(GBR)
122,123,"David ""Dave"" Wright",1965-04-10,,Killamarsh,(GBR),England,175.0,77.0,(GBR)
123,124,"Stefanie Maria ""Steffi"" Graf",1969-06-14,,Mannheim,(GER),Baden-Württemberg,175.0,59.0,(GER)
124,125,Sylvia Hanika (-Holder),1959-11-30,,Ottendichl,(GER),Bayern,173.0,64.0,(GER)
125,126,Anke Huber,1974-02-04,,Bruchsal,(GER),Baden-Württemberg,173.0,58.0,(GER)
